s,label
Q67782686,ZZ Leporis variable
Q67881329,V361 Hydrae variable
Q67882883,V1093 Herculis variable
Q67883275,DW Lyncis variable
Q679411,extrasolar moon
Q6808594,megamaser
Q691269,W Ursae Majoris variable
Q691537,mini-Neptune
Q6960589,Nakhlite
Q70073069,propeller moon
Q7012,meteoroid
Q7029,quark star
Q70317290,composite astronomical object
Q7073158,OVV quasar
Q7098888,optical pulsar
Q71242916,extraterrestrial environment
Q71797619,very red source
Q71797766,extremely red object
Q71798532,blue object
Q71798788,UV-emission source
Q7187739,photodissociation region
Q71928,Parent body
Q71962386,gamma-ray source
Q71962637,gravitational source
Q71965429,Seyfert 1 galaxy
Q71965638,Seyfert 2 galaxy
Q71965844,variable star with rapid variations
Q72053253,unconfirmed astronomical object
Q72053617,possible galaxy
Q72054258,possible cluster of galaxies
Q7243056,primary body
Q72533545,possible group of galaxies
Q72534196,physical binary candidate
Q72534536,eclipsing binary candidate
Q7259618,pulsar timing array
Q726242,RR Lyrae variable
Q726611,starburst galaxy
Q72672560,symbiotic star candidate
Q72704237,cataclysmic binary candidate
Q72705413,nova candidate
Q727379,RV Tauri variable
Q72802508,emission-line galaxy
Q72802727,possible red giant branch star
Q72802810,possible peculiar star
Q72802977,young stellar object candidate
Q72803426,horizontal branch star
Q72803622,emission-line star
Q72803708,possible globular cluster
Q7280568,Radio-quiet neutron star
Q7281159,radio halo
Q729623,C-type asteroid
Q7310835,relativistic star
Q736194,stellar association
Q737302,Hexahedrite
Q742741,luminous blue variable
Q7429682,scalar field dark matter
Q744691,Mira variable
Q747347,Angrite
Q752374,ring galaxy
Q753847,ataxite
Q7544,wormhole
Q7624558,strong gravitational lensing
Q7631112,subdwarf O star
Q764463,Beta Cephei variable
Q76600247,Circumplanetary disk
Q767432,B-type main sequence star
Q769363,runaway star
Q771898,Antarctic meteorite
Q777140,Mars-crossing asteroid
Q779609,slow irregular variable
Q781004,Aubrite
Q7825074,Topopolis
Q7833672,Intercontinental and transoceanic fixed links
Q787067,PG 1159 star
Q78801380,MAMBO-9
Q792548,axion
Q797219,BY Draconis variable
Q79925,dark matter
Q8041584,X-shaped radio galaxy
Q80796829,hypothetic terrestrial planet
Q808220,barium star
Q8101032,Jupiter trojan
Q812800,Be-type star
Q827989,iron meteorite
Q830162,Vulcanoid asteroid
Q830831,Beta Lyrae variable
Q83148567,super-puff
Q83373,quasar
Q834620,PV Telescopii variable
Q836976,Delta Scuti variable
Q839992,yellow giant
Q840224,ureilite
Q844866,comet dust
Q844911,superior planet
Q845169,high-mass X-ray binary
Q845371,void
Q847083,trojan planet
Q847310,M-type asteroid
Q848950,moon of Haumea
Q849009,protoplanet
Q854857,diffuse nebula
Q85749906,CM chondrite
Q85793519,planetary-mass moon
Q862203,carbon planet
Q863936,K-type main-sequence star
Q864952,dark matter halo
Q876712,quasi-satellite
Q878367,multiple star
Q8809719,Type Iax supernova
Q882646,blue globular clusters
Q8928,constellation
Q8963332,anemic galaxy
Q911245,late-type star
Q911454,puffy planet
Q911809,O-type main sequence star
Q913970,Martian meteorite
Q920941,R Coronae Borealis variable
Q921336,OB association
Q9262,asterism
Q9283096,Wolf–Rayet-type star
Q9283100,nova-like star
Q9283175,Y-type brown dwarf
Q928495,Chthonian planet
Q9298968,black star
Q9336003,shergottite
Q935337,stellar stream
Q936076,W Virginis variable
Q93725928,Gamma Cassiopeiae analog
Q93884,void galaxy
Q947207,mesosiderite
Q947662,binary asteroid
Q952474,Lunar meteorite
Q957044,FU Orionis variable
Q957798,megastructure
Q96148782,fast blue optical transient
Q96380207,habitable exoplanet
Q96619132,black neutron star
Q9668634,Reissner–Nordström black hole
Q97166449,Odd radio circle
Q97172577,habitable exomoon
Q97359320,sub-Neptune
Q97570336,dense core
Q978297,binary system
Q98273894,blanet
Q986563,interplanetary dust cloud
Q987046,astrophysical plasma
Q987331,E-type asteroid
Q995268,F-type star
Q99695364,Schubart family
